"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"103453-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/103453-26";"2019-12-16";"Aprovado o Parecer, apresentou voto em separado o Deputado Aloysio Nunes Ferreira.";"103453";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/103453";"PDC 2894/2003";"Aprova o ato que autoriza a Associação Comunitária de Comunicação de Barretos  a executar, pelo prazo de três anos, sem direito de exclusividade, serviço de radiodifusão comunitária na cidade de Barretos, Estado de São Paulo.";"396";"PDC";"2894";"2003"
"1049363-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1049363-28";"2019-12-10";"Aprovado por Unanimidade o Parecer.";"1049363";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1049363";"PLP 33/2015";"Altera a Lista de serviços anexa à Lei Complementar n.º 116, de 2003, que relaciona atividades sujeitas ao Imposto sobre Serviços de qualquer natureza - ISS";"140";"PLP";"33";"2015"
"111567-182";"https://dadosabertos.camara.leg.br/api/v2/votacoes/111567-182";"2019-06-06";"Aprovado o Parecer.";"111567";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/111567";"PL 757/2003";"Proíbe as prestadoras dos serviços móvel celular e móvel pessoal de utilizarem o serviço de mensagem para a veiculação de propaganda comercial.";"139";"PL";"757";"2003"
"116865-75";"https://dadosabertos.camara.leg.br/api/v2/votacoes/116865-75";"2019-06-25";"Aprovada a Redação Final.";"116865";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/116865";"PL 1077/2003";"Dispõe sobre conteúdos curriculares da formação do Pedagogo para atuar junto a estudantes  com restrição de locomoção.";"139";"PL";"1077";"2003"
"117968-117";"https://dadosabertos.camara.leg.br/api/v2/votacoes/117968-117";"2019-10-10";"Aprovado o Parecer.";"117968";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/117968";"PL 1153/2003";"Acrescenta inciso ao art. 44 da Lei nº 9.394, de 20 de dezembro de 1996.";"139";"PL";"1153";"2003"
"118275-98";"https://dadosabertos.camara.leg.br/api/v2/votacoes/118275-98";"2019-06-05";"Deferido o Requerimento n. 1499/2019, conforme despacho do seguinte teor: ""Defiro a retirada do Requerimento n. 1.468/2019, nos termos do art. 104, caput, c/c o art. 114, V, do Regimento Interno da Câmara dos Deputados. Publique-se. Arquive-se. """;"118275";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/118275";"PL 1184/2003";"Dispõe sobre a Reprodução Assistida.";"139";"PL";"1184";"2003"
"1188017-60";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1188017-60";"2019-12-11";"Aprovado o Parecer.";"1188017";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1188017";"PL 924/2015";"Obriga a instalação de detectores de metais na portaria de estádios e ginásios.";"139";"PL";"924";"2015"
"1191094-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1191094-107";"2019-08-14";"Aprovado o Parecer.";"1191094";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1191094";"PL 947/2015";"Institui o Dia 25 de maio como o Dia Nacional do Desporto Escolar.";"139";"PL";"947";"2015"
"1191094-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1191094-122";"2019-09-19";"Aprovada a Redação Final.";"1191094";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1191094";"PL 947/2015";"Institui o Dia 25 de maio como o Dia Nacional do Desporto Escolar.";"139";"PL";"947";"2015"
"1194685-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1194685-52";"2019-08-21";"Aprovado por Unanimidade o Parecer.";"1194685";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1194685";"PL 967/2015";"Dispõe sobre a proibição de uso de modelos mulheres para divulgação de propagandas de lingerie e afins em vias públicas, bem como em mídias visuais como TV, Jornais impressos e similares.";"139";"PL";"967";"2015"
"1197728-36";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197728-36";"2019-10-23";"Aprovado por Unanimidade o Parecer.";"1197728";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1197728";"PLP 46/2015";"Acrescenta dispositivos à Lei de Responsabilidade Fiscal, para estabelecer a obrigatoriedade de um Anexo de Metas destinadas a Crianças e Adolescentes.";"140";"PLP";"46";"2015"
"1198512-169";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-169";"2019-05-14";"Aprovado requerimento n. 3/2019 da Sra. Professora Rosa Neide que requer a realização de Audiência Pública para discutir o Fundeb Permanente. Convidados: Representação do Ministério da Educação; Representação do Conselho Nacional de Secretários de Educação - Consed; Representação da União Nacional dos Dirigentes Municipais de Educação -Undime; Representação da Confederação Nacional dos Trabalhadores em Educação - CNTE e Representação da Associação Nacional de Pós-Graduação e Pesquisa em Educação - Anped.";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"1202989-51";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1202989-51";"2019-12-04";"Aprovado o Parecer.";"1202989";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1202989";"PL 1112/2015";"Altera a Lei nº 11.438, de 29 de dezembro de 2006, para acrescentar vedações na utilização dos recursos oriundos dos incentivos previstos nesta Lei.";"139";"PL";"1112";"2015"
"120877-113";"https://dadosabertos.camara.leg.br/api/v2/votacoes/120877-113";"2019-09-04";"Aprovado o Relatório Final.";"120877";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/120877";"PFC 14/2003";"Propõe que a Comissão de Fiscalização Financeira e Controle realize ato de fiscalização e controle, por meio do TCU, sobre os atos praticados pela Prefeitura Municipal de Porto de Moz / PA.";"138";"PFC";"14";"2003"
"1212501-65";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1212501-65";"2019-04-03";"Aprovado o Parecer.";"1212501";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1212501";"PL 1172/2015";"Dispõe sobre a obrigatoriedade da cirurgia reparadora de lábio leporino ou fenda palatina no Sistema Único de Saúde (SUS) e nos conveniados e dá outras providências.";"139";"PL";"1172";"2015"
