"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"1198512-250";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-250";"2020-07-21";"Aprovado, em primeiro turno, o Substitutivo adotado pela Relatora da Comissão Especial à Proposta de Emenda à Constituição nº 15, de 2015. Sim: 499; não: 7; total: 506.";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"1198512-254";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-254";"2020-07-21";"Suprimido o texto. Sim 201; não 267; abstenção 1; total 469.";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"1198512-257";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-257";"2020-07-21";"Mantido o texto. Sim: 399; não: 19; abstenção: 2; total: 420.";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"1198512-272";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-272";"2020-07-21";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 15, de 2015, ressalvado o destaque. Sim 492; não 6; abstenção 1; total 499.";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"1198512-279";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-279";"2020-07-21";"Mantido o texto. Sim 393; não 83; abstenção 3; total 479.";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"1198512-281";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1198512-281";"2020-07-21";"Aprovada a Redação Final assinada pela Relatora, Deputada Professora Dorinha Seabra Rezende (DEM/TO).";"1198512";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1198512";"PEC 15/2015";"Insere parágrafo único no art. 193; inciso IX, no art. 206 e art. 212-A, todos na Constituição Federal, de forma a tornar o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - Fundeb instrumento permanente de financiamento da educação básica pública, incluir o planejamento na ordem social e inserir  novo princípio no rol daqueles  com base nos quais a educação será ministrada, e revoga o art. 60 do Ato das Disposições Constitucionais Transitórias.

NOVA EMENTA: Altera a Constituição Federal para estabelecer critérios de distribuição da cota municipal do Imposto Sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação  (ICMS), para disciplinar a disponibilização de dados contábeis pelos entes federados, para tratar do planejamento na ordem social e para dispor sobre o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb); altera o Ato das Disposições Constitucionais Transitórias; e dá outras providências";"136";"PEC";"15";"2015"
"2025381-32";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2025381-32";"2020-07-22";"Aprovada, conforme parecer da Relatora, Deputada Soraya Santos.";"2025381";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2025381";"INC 1233/2015";"Sugere à Mesa Diretora da Câmara dos Deputados que seja elaborado Projeto de Resolução para instituir no âmbito do parlamento o programa ""Câmara Inclusiva"", que assegura a presença profissional de pessoas com Síndrome do Down em diversos setores da Casa.";"133";"INC";"1233";"2015"
"20529-254";"https://dadosabertos.camara.leg.br/api/v2/votacoes/20529-254";"2020-08-13";"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1971/2020.";"20529";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/20529";"PL 3968/1997";"Isenta os órgãos públicos e as entidades filantrópicas do pagamento de direitos autorais pelo uso de obras musicais e lítero-musicais em eventos por eles promovidos.";"139";"PL";"3968";"1997"
"20529-255";"https://dadosabertos.camara.leg.br/api/v2/votacoes/20529-255";"2020-08-13";"Aprovado requerimento n. 1971/2020 do Sr. Newton Cardoso Jr que requer regime de urgência na apreciação do Projeto de Lei nº 3968/1997.";"20529";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/20529";"PL 3968/1997";"Isenta os órgãos públicos e as entidades filantrópicas do pagamento de direitos autorais pelo uso de obras musicais e lítero-musicais em eventos por eles promovidos.";"139";"PL";"3968";"1997"
"2079600-85";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2079600-85";"2020-08-05";"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 2022/2020.";"2079600";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2079600";"PL 4749/2016";"Tipifica a conduta do parente da vítima, consanguíneo ou por afinidade, do médico, da autoridade religiosa, do professor ou do responsável por estabelecimento de atenção à saúde e de ensino que deixa de comunicar à autoridade competente os casos de que tenha conhecimento, envolvendo suspeita ou confirmação de maus-tratos ou de abuso sexual contra criança ou adolescente, além de exacerbar a punição desses delitos caso praticados no âmbito de instituição de saúde, religiosa, educacional, de assistência social ou recreativa, públicas ou privadas.";"139";"PL";"4749";"2016"
